metric,libelle,valeur,note
enquetes_judiciaires_ouvertes,Enquêtes judiciaires ouvertes (saisines),1015,
enquetes_administratives_ouvertes,Enquêtes administratives (pré-disciplinaires) ouvertes,167,
signalements_plateforme,Signalements reçus sur la plateforme de signalement (PFS),6664,
formations_nombre_sessions,Nombre de formations dispensées,174,
formations_agents_formes,Agents formés dans l'année,8194,
missions_accompagnement,Missions d'accompagnement de projet,24,
enquetes_usage_force,Enquêtes judiciaires portant sur l'usage de la force,517,
enquetes_injures_racistes_discriminatoires,Enquêtes ouvertes pour injures à caractère raciste ou discriminatoire,26,
