metric,libelle,valeur,note
enquetes_judiciaires_ouvertes,Enquêtes judiciaires ouvertes (saisines),1085,
enquetes_administratives_ouvertes,Enquêtes administratives (pré-disciplinaires) ouvertes,288,chiffre recalcule retrospectivement par les rapports 2023/2024 ; le rapport 2017 indiquait initialement 276
effectifs_agents,Effectif total de l'IGPN (agents),268,"effectif au 2 janvier 2018, tel que communique dans le rapport 2017"
signalements_plateforme,Signalements reçus sur la plateforme de signalement (PFS),3661,
fiches_amaris_publiees,Fiches AMARIS publiées dans l'année,28,
